record_type,unique_system_identifier,uls_file_number,ebf_number,call_sign,frequency_action_performed,location_number,antenna_number,class_station_code,op_altitude_code,frequency_assigned,frequency_upper_band,frequency_carrier,time_begin_operations,time_end_operations,power_output,power_erp,tolerance,frequency_ind,status,eirp,transmitter_make,transmitter_model,auto_transmitter_power_control,cnt_mobile_units,cnt_mob_pagers,freq_seq_id,status_code,status_date,date_first_used
FR,532,,,KGC602,,2,1,FBBS,,152.63000000,,,,,,76.000,,,,,,,,,,1,,,
FR,532,,,KGC602,,4,1,FBBS,,152.63000000,,,,,,137.000,,,,,,,,,,1,,,01/24/1994
FR,532,,,KGC602,,4,2,FBBS,,152.63000000,,,,,,201.400,,,,,,,,,,1,,,
FR,532,,,KGC602,,5,1,FBBS,,152.63000000,,,,,,500.000,,,,,,,,,,1,,,
FR,532,,,KGC602,,6,1,FBBS,,152.63000000,,,,,,103.000,,,,,,,,,,1,,,
FR,532,,,KGC602,,7,1,FBBS,,152.63000000,,,,,,500.000,,,,,,,,,,1,,,
FR,532,,,KGC602,,9,1,FBBS,,152.63000000,,,,,,500.000,,,,,,,,,,1,,,
FR,532,,,KGC602,,10,1,FBBS,,152.63000000,,,,,,443.000,,,,,,,,,,1,,,
FR,532,,,KGC602,,11,1,FBBS,,152.63000000,,,,,,500.000,,,,,,,,,,1,,,
FR,532,,,KGC602,,12,1,FBBS,,152.63000000,,,,,,500.000,,,,,,,,,,1,,,01/24/1994
FR,532,,,KGC602,,13,1,FBBS,,152.63000000,,,,,,109.010,,,,,,,,,,1,,,
FR,532,,,KGC602,,15,1,FBBS,,152.63000000,,,,,,201.300,,,,,,,,,,1,,,
FR,532,,,KGC602,,16,1,FBBS,,152.63000000,,,,,,500.000,,,,,,,,,,1,,,
FR,532,,,KGC602,,18,1,FBBS,,152.63000000,,,,,,583.400,,,,,,,,,,1,,,
FR,532,,,KGC602,,20,1,FBBS,,152.63000000,,,,,,283.800,,,,,,,,,,1,,,
FR,532,,,KGC602,,21,1,FBBS,,152.63000000,,,,,,246.600,,,,,,,,,,1,,,
FR,532,,,KGC602,,23,1,FBBS,,152.63000000,,,,,,555.900,,,,,,,,,,1,,,
FR,532,,,KGC602,,24,1,FBBS,,152.63000000,,,,,,151.000,,,,,,,,,,1,,,
FR,532,,,KGC602,,25,1,FBBS,,152.63000000,,,,,,579.300,,,,,,,,,,1,,,
FR,532,,,KGC602,,27,1,FBBS,,152.63000000,,,,,,260.000,,,,,,,,,,1,,,
FR,532,,,KGC602,,28,1,FBBS,,152.63000000,,,,,,252.300,,,,,,,,,,1,,,
FR,532,,,KGC602,,29,1,FBBS,,152.63000000,,,,,,542.000,,,,,,,,,,1,,,
FR,532,,,KGC602,,30,1,FBBS,,152.63000000,,,,,,223.500,,,,,,,,,,1,,,
FR,532,,,KGC602,,32,1,FBBS,,152.63000000,,,,,,248.300,,,,,,,,,,1,,,
FR,532,,,KGC602,,34,1,FBBS,,152.63000000,,,,,,718.100,,,,,,,,,,1,,,03/26/1997
FR,532,,,KGC602,,35,1,FBBS,,152.63000000,,,,,,490.000,,,,,,,,,,1,,,
FR,532,,,KGC602,,35,2,FBBS,,152.63000000,,,,,,174.000,,,,,,,,,,1,,,
FR,532,,,KGC602,,37,1,FBBS,,152.63000000,,,,,,500.000,,,,,,,,,,1,,,
FR,532,,,KGC602,,39,1,FBBS,,152.63000000,,,,,,500.000,,,,,,,,,,1,,,
FR,532,,,KGC602,,40,1,FBBS,,152.63000000,,,,,,500.000,,,,,,,,,,1,,,
FR,532,,,KGC602,,41,1,FBBS,,152.63000000,,,,,,500.000,,,,,,,,,,1,,,
FR,532,,,KGC602,,42,1,FBBS,,152.63000000,,,,,,500.000,,,,,,,,,,1,,,
FR,532,,,KGC602,,43,1,FBBS,,152.63000000,,,,,,46.000,,,,,,,,,,1,,,
FR,532,,,KGC602,,44,1,FBBS,,152.63000000,,,,,,479.000,,,,,,,,,,1,,,
FR,532,,,KGC602,,45,1,FBBS,,152.63000000,,,,,,213.000,,,,,,,,,,1,,,08/21/1989
FR,6676,,,KWH310,,1,1,FBBS,,152.84000000,,,,,,306.200,,,,,,,,,,1,,,
FR,6676,,,KWH310,,2,1,FBBS,,152.84000000,,,,,,76.000,,,,,,,,,,1,,,
FR,6676,,,KWH310,,2,2,FBBS,,152.84000000,,,,,,74.000,,,,,,,,,,1,,,
FR,6676,,,KWH310,,4,1,FBBS,,152.84000000,,,,,,200.400,,,,,,,,,,1,,,
FR,6676,,,KWH310,,5,1,FBBS,,152.84000000,,,,,,426.000,,,,,,,,,,1,,,10/29/1987
FR,6676,,,KWH310,,6,1,FBBS,,152.84000000,,,,,,107.000,,,,,,,,,,1,,,
FR,6676,,,KWH310,,7,1,FBBS,,152.84000000,,,,,,406.000,,,,,,,,,,1,,,
FR,6676,,,KWH310,,8,1,FBBS,,152.84000000,,,,,,1.000,,,,,,,,,,1,,,12/05/1991
FR,6676,,,KWH310,,9,1,FBBS,,152.84000000,,,,,,254.000,,,,,,,,,,1,,,
FR,6676,,,KWH310,,10,1,FBBS,,152.84000000,,,,,,500.000,,,,,,,,,,1,,,
FR,6676,,,KWH310,,11,1,FBBS,,152.84000000,,,,,,500.000,,,,,,,,,,1,,,
FR,6676,,,KWH310,,12,1,FBBS,,152.84000000,,,,,,400.000,,,,,,,,,,1,,,08/16/1989
FR,6676,,,KWH310,,13,1,FBBS,,152.84000000,,,,,,308.300,,,,,,,,,,1,,,08/16/1989
FR,6676,,,KWH310,,14,1,FBBS,,152.84000000,,,,,,470.000,,,,,,,,,,1,,,08/16/1989
FR,6676,,,KWH310,,15,1,FBBS,,152.84000000,,,,,,450.000,,,,,,,,,,1,,,08/16/1989
FR,6676,,,KWH310,,16,1,FBBS,,152.84000000,,,,,,450.000,,,,,,,,,,1,,,08/16/1989
FR,6676,,,KWH310,,16,2,FBBS,,152.84000000,,,,,,500.000,,,,,,,,,,1,,,08/16/1989
FR,6676,,,KWH310,,17,1,FBBS,,152.84000000,,,,,,608.100,,,,,,,,,,1,,,
FR,6676,,,KWH310,,18,1,FBBS,,152.84000000,,,,,,281.200,,,,,,,,,,1,,,
FR,6676,,,KWH310,,19,1,FBBS,,152.84000000,,,,,,559.800,,,,,,,,,,1,,,
FR,6676,,,KWH310,,20,1,FBBS,,152.84000000,,,,,,151.000,,,,,,,,,,1,,,
FR,6676,,,KWH310,,21,1,FBBS,,152.84000000,,,,,,824.500,,,,,,,,,,1,,,
FR,1108625,,,KGI346,,1,1,FB,,153.29000000,,,,,30.000,,,,,,,,,1,,1,,,03/19/1964
FR,1110575,,,KJT984,,1,1,FB,,153.29000000,,,,,36.000,,,,,,,,,2,,1,,,10/01/1978
FR,1110575,,,KJT984,,2,1,MO,,153.29000000,,,,,36.000,,,,,,,,,1,,1,,,10/01/1978
FR,1179406,,,KGC676,,1,1,FB,,33.80000000,,,,,300.000,280.000,,,,,,,,1,300,1,,,04/11/1990
FR,1179406,,,KGC676,,1,1,FB,,33.84000000,,,,,300.000,280.000,,,,,,,,1,300,2,,,04/11/1990
FR,1179406,,,KGC676,,1,1,FB,,33.86000000,,,,,300.000,280.000,,,,,,,,1,300,3,,,04/11/1990
FR,1179406,,,KGC676,,1,1,FB,,154.28000000,,,,,300.000,280.000,,,,,,,,1,300,4,,,04/11/1990
FR,1179406,,,KGC676,,2,1,FB,,33.80000000,,,,,300.000,250.000,,,,,,,,1,300,1,,,04/11/1990
FR,1179406,,,KGC676,,2,1,FB,,33.84000000,,,,,300.000,250.000,,,,,,,,1,300,2,,,04/11/1990
FR,1179406,,,KGC676,,2,1,FB,,33.86000000,,,,,300.000,250.000,,,,,,,,1,300,3,,,04/11/1990
FR,1179406,,,KGC676,,2,1,FB,,154.28000000,,,,,300.000,250.000,,,,,,,,1,300,4,,,04/11/1990
FR,1179406,,,KGC676,,3,1,FB,,33.86000000,,,,,100.000,100.000,,,,,,,,1,300,1,,,04/11/1990
FR,1179406,,,KGC676,,4,1,FB,,33.86000000,,,,,100.000,100.000,,,,,,,,1,300,1,,,04/11/1990
FR,1179406,,,KGC676,,5,1,FB,,33.86000000,,,,,100.000,100.000,,,,,,,,1,300,1,,,04/11/1990
FR,1179406,,,KGC676,,6,1,MO,,33.80000000,,,,,300.000,,,,,,,,,600,,1,,,04/11/1990
FR,1179406,,,KGC676,,6,1,MO,,33.84000000,,,,,300.000,,,,,,,,,600,,2,,,04/11/1990
FR,1179406,,,KGC676,,6,1,MO,,33.86000000,,,,,300.000,,,,,,,,,600,,3,,,04/11/1990
FR,1207730,,,KFZ738,,1,1,MO,,158.82000000,,,,,80.000,100.000,,,,,,,,80,,1,,,10/29/1980
FR,1207730,,,KFZ738,,1,1,MO,,154.40750000,,,,,80.000,100.000,,,,,,,,80,,2,,,10/31/2012
FR,1207730,,,KFZ738,,2,1,FB,,158.82000000,,,,,80.000,100.000,,,,,,,,1,,1,,,10/29/1980
FR,1207730,,,KFZ738,,2,1,FB,,154.40750000,,,,,80.000,100.000,,,,,,,,1,,2,,,10/31/2012
FR,1209077,,,KKC633,,1,1,FB,,153.86000000,,,,,100.000,100.000,,,,,,,,1,,1,,,05/08/1989
FR,1209077,,,KKC633,,1,1,FB,,153.96500000,,,,,100.000,100.000,,,,,,,,1,,2,,,05/08/1989
FR,1209077,,,KKC633,,2,1,MO,,153.86000000,,,,,5.000,5.000,,,,,,,,100,,1,,,05/08/1989
FR,1209077,,,KKC633,,2,1,MO,,153.96500000,,,,,5.000,5.000,,,,,,,,100,,2,,,05/08/1989
FR,1220721,,,KZO480,,1,1,MO,,155.74500000,,,,,80.000,,,,,,,,,70,,1,,,09/12/1980
FR,1220721,,,KZO480,,2,1,FB,,155.74500000,,,,,80.000,,,,,,,,,1,,1,,,09/12/1980
FR,1220721,,,KZO480,,3,1,FB,,155.74500000,,,,,80.000,,,,,,,,,1,,1,,,09/12/1980
FR,1233665,,,WPGF956,,1,1,FXO,,173.20375000,,,,,10.000,40.000,,,,,,,,1,,1,,,01/05/1995
FR,1233665,,,WPGF956,,2,1,FXO,,173.20375000,,,,,10.000,40.000,,,,,,,,1,,1,,,01/05/1995
FR,1233665,,,WPGF956,,3,1,FXO,,173.20375000,,,,,10.000,40.000,,,,,,,,1,,1,,,01/05/1995
FR,1233665,,,WPGF956,,4,1,FXO,,173.20375000,,,,,10.000,40.000,,,,,,,,1,,1,,,01/05/1995
FR,1233889,,,WPGR478,,1,1,FB2,,155.95500000,,,,,50.000,50.000,,,,,,,,1,,1,,,03/04/1995
FR,1233889,,,WPGR478,,2,1,MO,,154.10000000,,,,,5.000,5.000,,,,,,,,70,,1,,,03/04/1995
FR,1235360,,,WPJQ685,,1,1,FB2,,155.08500000,,,,,25.000,25.000,,,,,,,,1,,1,,,09/09/1996
FR,1235360,,,WPJQ685,,2,1,MO,,158.89500000,,,,,5.000,5.000,,,,,,,,50,,1,,,09/09/1996
FR,1238872,,,WZX569,,1,1,MO,,153.98000000,,,,,60.000,60.000,,,,,,,,100,,1,,,12/11/1987
FR,1238872,,,WZX569,,1,1,MO,,159.31500000,,,,,60.000,60.000,,,,,,,,100,,2,,,
FR,1238872,,,WZX569,,2,1,FB,,153.98000000,,,,,60.000,100.000,,,,,,,,1,5,1,,,09/06/1979
FR,1238872,,,WZX569,,2,1,FB2,,153.98000000,,,,,60.000,100.000,,,,,,,,1,,2,,,
FR,1238872,,,WZX569,,2,1,FB2,,155.07000000,,,,,30.000,30.000,,,,,,,,1,,3,,,09/23/2021
FR,1243582,,,KQP649,,1,1,FB,,151.32500000,,,,,110.000,,,,,,,,,1,,1,,,09/07/1979
FR,1243583,,,KQP650,,1,1,FB,,151.32500000,,,,,110.000,,,,,,,,,1,,1,,,12/24/1980
FR,1243689,,,KRU980,,1,1,FB,,151.32500000,,,,,110.000,,,,,,,,,1,,1,,,11/13/1984
FR,1244730,,,WBU31,,1,1,FX1,,151.14500000,,,,,110.000,,,,,,,,,1,,1,,,11/13/1984
FR,1245702,,,WNPK394,,1,1,FX1,,151.14500000,,,,,50.000,125.000,,,,,,,,1,,1,,,05/18/1989
FR,1245702,,,WNPK394,,1,1,FB,,151.25000000,,,,,50.000,125.000,,,,,,,,1,,2,,,05/18/1989
FR,1245702,,,WNPK394,,1,1,FB,,151.31000000,,,,,50.000,125.000,,,,,,,,1,,3,,,05/18/1989
FR,1245702,,,WNPK394,,1,1,FB,,151.32500000,,,,,50.000,125.000,,,,,,,,1,,4,,,05/18/1989
FR,1245702,,,WNPK394,,1,1,FB,,151.35500000,,,,,50.000,125.000,,,,,,,,1,,5,,,05/18/1989
FR,1245702,,,WNPK394,,1,1,FB,,151.41500000,,,,,50.000,125.000,,,,,,,,1,,6,,,05/18/1989
FR,1245702,,,WNPK394,,1,1,FB,,151.46000000,,,,,50.000,125.000,,,,,,,,1,,7,,,05/18/1989
FR,1245702,,,WNPK394,,1,1,FB,,159.24000000,,,,,50.000,125.000,,,,,,,,1,,8,,,05/18/1989
FR,1246974,,,WRE95,,1,1,FX1,,151.14500000,,,,,110.000,,,,,,,,,1,,1,,,10/05/1978
FR,1250430,,,KGA870,,1,1,MO,,155.79000000,,,,,80.000,,,,,,,,,70,,1,,,08/22/1980
FR,1250430,,,KGA870,,2,1,FB,,155.79000000,,,,,80.000,,,,,,,,,1,,1,,,08/22/1980
FR,1250430,,,KGA870,,3,1,FB,,155.79000000,,,,,80.000,,,,,,,,,1,,1,,,08/22/1980
FR,1250436,,,KGA914,,1,1,FB,,39.10000000,,,,,300.000,88.000,,,,,,,,3,,3,,,10/17/1990
FR,1250436,,,KGA914,,1,1,FB,,39.52000000,,,,,300.000,88.000,,,,,,,,3,,12,,,10/17/1990
FR,1250436,,,KGA914,,1,1,FB,,39.04000000,,,,,300.000,88.000,,,,,,,,3,,1,,,10/17/1990
FR,1250436,,,KGA914,,1,1,FB,,39.06000000,,,,,300.000,88.000,,,,,,,,3,,2,,,10/17/1990
FR,1250436,,,KGA914,,1,1,FB,,39.14000000,,,,,300.000,88.000,,,,,,,,3,,4,,,10/17/1990
FR,1250436,,,KGA914,,1,1,FB,,39.24000000,,,,,300.000,88.000,,,,,,,,3,,5,,,10/17/1990
FR,1250436,,,KGA914,,1,1,FB,,39.26000000,,,,,300.000,88.000,,,,,,,,3,,6,,,10/17/1990
FR,1250436,,,KGA914,,1,1,FB,,39.30000000,,,,,300.000,88.000,,,,,,,,3,,7,,,10/17/1990
FR,1250436,,,KGA914,,1,1,FB,,39.32000000,,,,,300.000,88.000,,,,,,,,3,,8,,,10/17/1990
FR,1250436,,,KGA914,,1,1,FB,,39.34000000,,,,,300.000,88.000,,,,,,,,3,,9,,,10/17/1990
FR,1250436,,,KGA914,,1,1,FB,,39.38000000,,,,,300.000,88.000,,,,,,,,3,,10,,,10/17/1990
FR,1250436,,,KGA914,,1,1,FB,,39.40000000,,,,,300.000,88.000,,,,,,,,3,,11,,,10/17/1990
FR,1250436,,,KGA914,,1,1,FB,,39.62000000,,,,,300.000,88.000,,,,,,,,3,,13,,,10/17/1990
FR,1250436,,,KGA914,,1,1,FB,,39.66000000,,,,,300.000,88.000,,,,,,,,3,,14,,,10/17/1990
FR,1250436,,,KGA914,,1,1,FB,,39.22000000,,,,,100.000,222.000,,,,,,,,3,,15,,,03/24/2005
FR,1250436,,,KGA914,,1,1,FB,,39.68000000,,,,,100.000,222.000,,,,,,,,3,,16,,,03/24/2005
FR,1250436,,,KGA914,,1,1,FB,,39.92000000,,,,,100.000,222.000,,,,,,,,3,,17,,,03/24/2005
FR,1250436,,,KGA914,,1,1,FB,,39.90000000,,,,,300.000,88.000,,,,,,,,3,,18,,,08/16/2007
FR,1250436,,,KGA914,,2,1,FB,,39.26000000,,,,,300.000,330.000,,,,,,,,3,,6,,,10/17/1990
FR,1250436,,,KGA914,,2,1,FB,,44.74000000,,,,,300.000,330.000,,,,,,,,1,,15,,,10/17/1990
FR,1250436,,,KGA914,,2,1,FB,,39.04000000,,,,,300.000,330.000,,,,,,,,3,,1,,,10/17/1990
FR,1250436,,,KGA914,,2,1,FB,,39.06000000,,,,,300.000,330.000,,,,,,,,3,,2,,,10/17/1990
FR,1250436,,,KGA914,,2,1,FB,,39.10000000,,,,,300.000,330.000,,,,,,,,3,,3,,,10/17/1990
FR,1250436,,,KGA914,,2,1,FB,,39.14000000,,,,,300.000,330.000,,,,,,,,3,,4,,,10/17/1990
FR,1250436,,,KGA914,,2,1,FB,,39.24000000,,,,,300.000,330.000,,,,,,,,3,,5,,,10/17/1990
FR,1250436,,,KGA914,,2,1,FB,,39.30000000,,,,,300.000,330.000,,,,,,,,3,,7,,,10/17/1990
FR,1250436,,,KGA914,,2,1,FB,,39.32000000,,,,,300.000,330.000,,,,,,,,3,,8,,,10/17/1990
FR,1250436,,,KGA914,,2,1,FB,,39.34000000,,,,,300.000,330.000,,,,,,,,3,,9,,,10/17/1990
FR,1250436,,,KGA914,,2,1,FB,,39.38000000,,,,,300.000,330.000,,,,,,,,3,,10,,,10/17/1990
FR,1250436,,,KGA914,,2,1,FB,,39.40000000,,,,,300.000,330.000,,,,,,,,3,,11,,,10/17/1990
FR,1250436,,,KGA914,,2,1,FB,,39.52000000,,,,,300.000,330.000,,,,,,,,3,,12,,,10/17/1990
FR,1250436,,,KGA914,,2,1,FB,,39.62000000,,,,,300.000,330.000,,,,,,,,3,,13,,,10/17/1990
FR,1250436,,,KGA914,,2,1,FB,,39.66000000,,,,,300.000,330.000,,,,,,,,3,,14,,,10/17/1990
FR,1250436,,,KGA914,,2,1,FB,,44.90000000,,,,,300.000,330.000,,,,,,,,1,,16,,,10/17/1990
FR,1250436,,,KGA914,,2,1,FB,,155.19000000,,,,,300.000,330.000,,,,,,,,1,,17,,,10/17/1990
FR,1250436,,,KGA914,,2,1,FB,,155.47500000,,,,,300.000,330.000,,,,,,,,1,,18,,,10/17/1990
FR,1250436,,,KGA914,,2,1,FB,,155.73000000,,,,,300.000,330.000,,,,,,,,1,,19,,,10/17/1990
FR,1250436,,,KGA914,,2,1,FB,,39.22000000,,,,,100.000,222.000,,,,,,,,3,,20,,,03/24/2005
FR,1250436,,,KGA914,,2,1,FB,,39.68000000,,,,,100.000,222.000,,,,,,,,3,,21,,,03/24/2005
FR,1250436,,,KGA914,,2,1,FB,,39.92000000,,,,,100.000,222.000,,,,,,,,3,,22,,,03/24/2005
FR,1255489,,,KNNG313,,1,1,FB,,155.47500000,,,,,100.000,100.000,,,,,,,,1,,1,,,01/11/1996
FR,1266014,,,WNYQ766,,1,1,FB,,155.47500000,,,,,50.000,50.000,,,,,,,,1,,1,,,03/03/1992
FR,1294968,,,WPMQ948,,1,1,FXO,,173.20375000,,,,,10.000,40.000,,,,,,,,1,,1,,,11/12/1998
FR,1294968,,,WPMQ948,,2,1,FXO,,173.20375000,,,,,10.000,40.000,,,,,,,,1,,1,,,11/12/1998
FR,1591274,,,KAU893,,1,1,FB,,151.65500000,,,,,100.000,,,,,,,,,1,,1,,,03/09/1981
FR,1591274,,,KAU893,,2,1,MO,,151.65500000,,,,,100.000,,,,,,,,,10,,1,,,03/09/1981
FR,1610113,,,KGH548,,1,1,FB,,151.86500000,,,,,110.000,226.000,,,,,,,,1,,1,,,03/15/1995
FR,1610113,,,KGH548,,2,1,MO,,151.86500000,,,,,110.000,110.000,,,,,,,,10,,1,,,03/15/1995
FR,1613423,,,KNAE389,,1,1,FB2,,151.77500000,,,,,50.000,50.000,,,,,,,,1,,1,,,07/03/1986
FR,1613423,,,KNAE389,,2,1,MO,,151.77500000,,,,,50.000,45.000,,,,,,,,30,,1,,,07/03/1986
FR,1613423,,,KNAE389,,2,1,MO,,160.09500000,,,,,50.000,45.000,,,,,,,,30,,2,,,09/29/2016
FR,1773746,,,KIU682,,1,1,FB,,160.23000000,,,,,40.000,104.000,,,,,,,,1,,1,,,12/09/1988
FR,1773746,,,KIU682,,1,1,FB,,160.32000000,,,,,40.000,104.000,,,,,,,,1,,2,,,12/09/1988
FR,1773746,,,KIU682,,1,1,FB,,160.78500000,,,,,40.000,104.000,,,,,,,,1,,3,,,12/09/1988
FR,1773746,,,KIU682,,1,1,FB,,161.40000000,,,,,40.000,104.000,,,,,,,,1,,4,,,08/13/1998
FR,1773746,,,KIU682,,1,1,FB,,161.16000000,,,,,40.000,104.000,,,,,,,,1,,5,,,08/24/2017
FR,1773746,,,KIU682,,1,1,FB,,160.47000000,,,,,35.000,70.000,,,,,,,,1,,6,,,01/25/2018
FR,1773746,,,KIU682,,1,1,FB,,160.48500000,,,,,35.000,70.000,,,,,,,,1,,7,,,01/25/2018
FR,1773746,,,KIU682,,1,1,FB,,160.87500000,,,,,35.000,70.000,,,,,,,,1,,8,,,01/25/2018
FR,1773746,,,KIU682,,2,1,FB,,160.23000000,,,,,75.000,180.000,,,,,,,,1,,1,,,12/09/1988
FR,1773746,,,KIU682,,2,1,FB,,160.78500000,,,,,75.000,180.000,,,,,,,,1,,2,,,12/09/1988
FR,1773746,,,KIU682,,3,1,FB,,160.38000000,,,,,75.000,75.000,,,,,,,,1,,1,,,12/09/1988
FR,1773746,,,KIU682,,3,1,FB,,160.78500000,,,,,75.000,75.000,,,,,,,,1,,2,,,12/09/1988
FR,1773746,,,KIU682,,3,1,FB,,161.16000000,,,,,75.000,75.000,,,,,,,,1,,3,,,12/09/1988
FR,1773746,,,KIU682,,4,1,FB,,160.23000000,,,,,45.000,65.000,,,,,,,,1,,1,,,12/09/1988
